 2022-07-21 16:13:53 log.py | INFO | 🔄️ refresh page.
 2022-07-21 16:13:54 log.py | INFO | 👀 assertText -> 管理后台.
 2022-07-21 16:13:59 log.py | INFO | ⌛️ implicitly wait: 1s.
 2022-07-21 16:14:02 log.py | INFO | 👀 assertText -> 项目描述.
 2022-07-21 16:14:05 log.py | INFO | ⌛️ implicitly wait: 1s.
 2022-07-21 16:14:05 log.py | INFO | 👀 assertNotText -> ohudvi.
 2022-07-21 16:14:06 log.py | INFO | ⌛️ implicitly wait: 1s.
 2022-07-21 16:14:07 log.py | INFO | 👀 assertText -> 项目描述.
 2022-07-21 16:14:10 log.py | INFO | ⌛️ implicitly wait: 1s.
 2022-07-21 16:14:10 log.py | INFO | 👀 assertText -> uixvtd.
 2022-07-21 16:14:13 log.py | INFO | ⌛️ implicitly wait: 1s.
 2022-07-21 16:14:15 log.py | INFO | ⌛️ implicitly wait: 1s.
 2022-07-21 16:14:15 log.py | INFO | 👀 assertNotText -> mlriwy.
 2022-07-21 16:14:16 log.py | INFO | ⌛️ implicitly wait: 1s.
 2022-07-21 16:14:18 log.py | INFO | ⌛️ implicitly wait: 1s.
 2022-07-21 16:14:18 log.py | INFO | 👀 assertText -> uixvtd.
 2022-07-21 16:14:19 log.py | INFO | ⌛️ implicitly wait: 1s.
 2022-07-21 16:14:22 log.py | INFO | ⌛️ implicitly wait: 1s.
 2022-07-21 16:14:22 log.py | INFO | 👀 assertText ->  8395.
 2022-07-21 16:14:23 log.py | INFO | ⌛️ implicitly wait: 1s.
 2022-07-21 16:14:25 log.py | INFO | ⌛️ implicitly wait: 1s.
 2022-07-21 16:14:25 log.py | INFO | 👀 assertNotText -> uixvtdinvalid.
 2022-07-21 16:14:26 log.py | INFO | ⌛️ implicitly wait: 1s.
 2022-07-21 16:14:29 log.py | INFO | ⌛️ implicitly wait: 1s.
 2022-07-21 16:14:31 log.py | INFO | ⌛️ implicitly wait: 1s.
 2022-07-21 16:14:32 log.py | INFO | ⌛️ implicitly wait: 1s.
 2022-07-21 16:14:32 log.py | INFO | 👀 assertNotText -> uixvtd.
 2022-07-21 16:14:34 log.py | INFO | ⌛️ implicitly wait: 1s.
 2022-07-21 16:14:36 log.py | INFO | ⌛️ implicitly wait: 1s.
 2022-07-21 16:14:36 log.py | INFO | 👀 assertText -> uixvtd.
 2022-07-21 16:14:37 log.py | INFO | ⌛️ implicitly wait: 1s.
 2022-07-21 16:14:38 log.py | INFO | ⌛️ implicitly wait: 1s.
 2022-07-21 16:14:38 log.py | INFO | 👀 assertText -> 12条/页.
 2022-07-21 16:14:39 log.py | INFO | ⌛️ implicitly wait: 1s.
 2022-07-21 16:14:39 log.py | INFO | 👀 assertNotText -> 6条/页.
 2022-07-21 16:14:40 log.py | SUCCESS | generated html file: file:////Users/della/PycharmProjects/pegasus-ui-test/reports/2022_07_21_16_13_37_result.html
 2022-07-21 16:14:40 log.py | SUCCESS | generated log file: file:////Users/della/PycharmProjects/pegasus-ui-test/reports/seldom_log.log
 2022-07-21 17:16:25 log.py | INFO | 🔄️ refresh page.
 2022-07-21 17:16:27 log.py | INFO | 👀 assertText -> 管理后台.
 2022-07-21 17:16:33 log.py | INFO | ⌛️ implicitly wait: 1s.
 2022-07-21 17:16:36 log.py | INFO | 👀 assertText -> 项目描述.
 2022-07-21 17:16:39 log.py | INFO | ⌛️ implicitly wait: 1s.
 2022-07-21 17:16:39 log.py | INFO | 👀 assertNotText -> xhzywp.
 2022-07-21 17:16:40 log.py | INFO | ⌛️ implicitly wait: 1s.
 2022-07-21 17:16:41 log.py | INFO | 👀 assertText -> 项目描述.
 2022-07-21 17:16:43 log.py | INFO | ⌛️ implicitly wait: 1s.
 2022-07-21 17:16:43 log.py | INFO | 👀 assertText -> kgzpea.
 2022-07-21 17:16:47 log.py | INFO | ⌛️ implicitly wait: 1s.
 2022-07-21 17:16:49 log.py | INFO | ⌛️ implicitly wait: 1s.
 2022-07-21 17:16:49 log.py | INFO | 👀 assertNotText -> xrfavm.
 2022-07-21 17:16:50 log.py | INFO | ⌛️ implicitly wait: 1s.
 2022-07-21 17:16:52 log.py | INFO | ⌛️ implicitly wait: 1s.
 2022-07-21 17:16:53 log.py | INFO | 👀 assertText -> kgzpea.
 2022-07-21 17:16:54 log.py | INFO | ⌛️ implicitly wait: 1s.
 2022-07-21 17:16:56 log.py | INFO | ⌛️ implicitly wait: 1s.
 2022-07-21 17:16:56 log.py | INFO | 👀 assertText ->  8397.
 2022-07-21 17:16:57 log.py | INFO | ⌛️ implicitly wait: 1s.
 2022-07-21 17:16:59 log.py | INFO | ⌛️ implicitly wait: 1s.
 2022-07-21 17:16:59 log.py | INFO | 👀 assertNotText -> kgzpeainvalid.
 2022-07-21 17:17:00 log.py | INFO | ⌛️ implicitly wait: 1s.
 2022-07-21 17:17:04 log.py | INFO | ⌛️ implicitly wait: 1s.
 2022-07-21 17:17:06 log.py | INFO | ⌛️ implicitly wait: 1s.
 2022-07-21 17:17:07 log.py | INFO | ⌛️ implicitly wait: 1s.
 2022-07-21 17:17:07 log.py | INFO | 👀 assertNotText -> kgzpea.
 2022-07-21 17:17:09 log.py | INFO | ⌛️ implicitly wait: 1s.
 2022-07-21 17:17:10 log.py | INFO | ⌛️ implicitly wait: 1s.
 2022-07-21 17:17:10 log.py | INFO | 👀 assertText -> kgzpea.
 2022-07-21 17:17:11 log.py | INFO | ⌛️ implicitly wait: 1s.
 2022-07-21 17:17:12 log.py | INFO | ⌛️ implicitly wait: 1s.
 2022-07-21 17:17:12 log.py | INFO | 👀 assertText -> 12条/页.
 2022-07-21 17:17:13 log.py | INFO | ⌛️ implicitly wait: 1s.
 2022-07-21 17:17:13 log.py | INFO | 👀 assertNotText -> 6条/页.
 2022-07-21 17:17:15 log.py | INFO | ⌛️ implicitly wait: 1s.
 2022-07-21 17:17:17 log.py | INFO | ⌛️ implicitly wait: 1s.
 2022-07-21 17:17:17 log.py | INFO | 👀 assertText -> Node 列表.
 2022-07-21 17:17:18 log.py | SUCCESS | generated html file: file:////Users/della/PycharmProjects/pegasus-ui-test/reports/2022_07_21_17_16_11_result.html
